seed,candidate,update,train_nll,gradient_norm,input_tokens_cumulative,effective_labels_cumulative,update_seconds
17,a09,89,2.3592085242271423,0.6629489064216614,182272,181916,0.6715359082445502
17,a09,90,2.3003440499305725,0.5096450448036194,184320,183960,0.7009913818910718
17,a09,91,2.628857433795929,0.5813940167427063,186368,186004,0.7124696178361773
17,a09,92,2.4222858250141144,0.553748369216919,188416,188048,0.7181191630661488
17,a09,93,2.522088646888733,0.6280148029327393,190464,190092,0.7024153219535947
17,a09,94,2.412294715642929,0.5778533220291138,192512,192136,0.734336145222187
17,a09,95,2.580329656600952,0.6295168995857239,194560,194180,0.7103423969820142
17,a09,96,2.6681019067764282,0.49202582240104675,196608,196224,0.7591357761994004
17,a09,97,2.511015832424164,0.609154224395752,198656,198268,2.11482753418386
17,a09,98,2.154444068670273,0.5377580523490906,200704,200312,0.806057115085423
17,a09,99,2.642830550670624,0.5575868487358093,202752,202356,0.8246613154187799
17,a09,100,2.5929752588272095,0.6101579070091248,204800,204400,0.8344251271337271
29,a08,1,2.728410482406616,0.24684813618659973,2048,2044,1.4161576023325324
29,a08,2,2.6165865063667297,0.24283304810523987,4096,4088,0.8885089010000229
29,a08,3,2.4882484674453735,0.27014288306236267,6144,6132,0.7483546510338783
29,a08,4,2.6680999398231506,0.24239401519298553,8192,8176,0.7296151239424944
29,a08,5,2.7910603284835815,0.26558223366737366,10240,10220,0.716666217893362
29,a08,6,2.298186779022217,0.23412732779979706,12288,12264,0.7312016328796744
29,a08,7,2.8160226941108704,0.28721708059310913,14336,14308,0.7014311207458377
29,a08,8,2.782209277153015,0.2488764226436615,16384,16352,0.7056210404261947
29,a08,9,2.5214952528476715,0.290070503950119,18432,18396,0.7087099216878414
29,a08,10,2.761563241481781,0.2789301574230194,20480,20440,0.8458510898053646
29,a08,11,2.6942023634910583,0.3130975365638733,22528,22484,0.8723153555765748
29,a08,12,2.789892613887787,0.3667069375514984,24576,24528,0.7346423240378499
29,a08,13,2.709453821182251,0.3173443078994751,26624,26572,0.6829752577468753
29,a08,14,2.6680500507354736,0.27720504999160767,28672,28616,0.6667658165097237
29,a08,15,2.6979111433029175,0.3680429458618164,30720,30660,0.7252826131880283
29,a08,16,2.6607131958007812,0.2919653356075287,32768,32704,0.7093519102782011
29,a08,17,2.808358132839203,0.3904359042644501,34816,34748,0.704367839731276
29,a08,18,2.666305720806122,0.31711944937705994,36864,36792,0.6919753802940249
29,a08,19,2.632033884525299,0.32016271352767944,38912,38836,0.7026403062045574
29,a08,20,2.6490198373794556,0.3446260690689087,40960,40880,0.7249296102672815
29,a08,21,2.868016541004181,0.3217543363571167,43008,42924,0.6951998854056001
29,a08,22,2.736988604068756,0.37860947847366333,45056,44968,0.7222460322082043
29,a08,23,2.9374627470970154,0.3659244775772095,47104,47012,0.6638948423787951
29,a08,24,2.2121129631996155,0.29813918471336365,49152,49056,0.7081961715593934
29,a08,25,2.6332685947418213,0.36786994338035583,51200,51100,0.895187615416944
29,a08,26,2.792275309562683,0.3922904133796692,53248,53144,0.882854625582695
29,a08,27,2.4971810579299927,0.3923570513725281,55296,55188,1.1581833306699991
29,a08,28,2.652881383895874,0.3614068925380707,57344,57232,0.8335592476651073
29,a08,29,2.326198250055313,0.38214123249053955,59392,59276,0.8047984400764108
29,a08,30,2.2592231929302216,0.3694259226322174,61440,61320,0.8095961380749941
29,a08,31,2.4787954688072205,0.40503647923469543,63488,63364,0.776369059458375
29,a08,32,2.357240676879883,0.4016271233558655,65536,65408,0.8693822417408228
29,a08,33,2.4989017248153687,0.353549987077713,67584,67452,1.9583756625652313
29,a08,34,2.5264548659324646,0.3480655252933502,69632,69496,0.7933369260281324
29,a08,35,2.643860340118408,0.431943416595459,71680,71540,0.8092484381049871
29,a08,36,2.392111212015152,0.4275857210159302,73728,73584,1.502114030532539
29,a08,37,2.8482457995414734,0.4500487148761749,75776,75628,1.6494317660108209
29,a08,38,2.380677819252014,0.4076717793941498,77824,77672,1.259950746782124
29,a08,39,2.9067819118499756,0.4535249173641205,79872,79716,0.9629491632804275
29,a08,40,2.808811128139496,0.5074588060379028,81920,81760,0.7306038914248347
29,a08,41,2.4736286401748657,0.41076555848121643,83968,83804,0.7657861560583115
29,a08,42,2.388755351305008,0.5044597387313843,86016,85848,1.0106655480340123
29,a08,43,2.6675865650177,0.43794384598731995,88064,87892,1.0829210793599486
29,a08,44,2.501755177974701,0.495675653219223,90112,89936,1.0679391818121076
29,a08,45,2.622083365917206,0.417162150144577,92160,91980,0.9566650483757257
29,a08,46,2.81941419839859,0.48957324028015137,94208,94024,0.8047966090962291
29,a08,47,2.4554527401924133,0.40718212723731995,96256,96068,0.9940007049590349
29,a08,48,2.7362914085388184,0.5154320597648621,98304,98112,0.8220227751880884
29,a08,49,2.3874402046203613,0.44849491119384766,100352,100156,0.8647266207262874
29,a08,50,2.5180800557136536,0.48519107699394226,102400,102200,0.8591787340119481
29,a08,51,2.3053270280361176,0.5348089933395386,104448,104244,0.9394908538088202
29,a08,52,2.6324920654296875,0.48102864623069763,106496,106288,0.7224210323765874
29,a08,53,2.4929401874542236,0.4591440260410309,108544,108332,0.885704655200243
29,a08,54,2.557580888271332,0.48134908080101013,110592,110376,0.6841370277106762
29,a08,55,2.4942319095134735,0.464140921831131,112640,112420,0.6941066216677427
29,a08,56,2.6813371777534485,0.49934622645378113,114688,114464,0.6851654723286629
29,a08,57,2.343797028064728,0.4287501871585846,116736,116508,1.1285760588943958
29,a08,58,2.407634735107422,0.49396175146102905,118784,118552,0.8681542687118053
29,a08,59,2.4192736744880676,0.46892687678337097,120832,120596,0.8575979666784406
29,a08,60,2.365121066570282,0.6977354884147644,122880,122640,0.9463415201753378
29,a08,61,2.4149035811424255,0.5096497535705566,124928,124684,0.6761465109884739
29,a08,62,2.4242120385169983,0.5494674444198608,126976,126728,2.415045448578894
29,a08,63,2.2861063480377197,0.5327711701393127,129024,128772,1.253893875516951
29,a08,64,2.6592636108398438,0.6400500535964966,131072,130816,0.8865686897188425
29,a08,65,2.4039822816848755,0.5173475742340088,133120,132860,0.9837537622079253
29,a08,66,2.2722525000572205,0.5461878180503845,135168,134904,0.9736532270908356
29,a08,67,2.7511579394340515,0.5686234831809998,137216,136948,0.9192529860883951
29,a08,68,2.1580542623996735,0.4558534324169159,139264,138992,0.8143140655010939
29,a08,69,2.4656854271888733,0.5277667045593262,141312,141036,0.853458852507174
