split,first_layer,second_layer,sample_index,source_window_index,nll
calibration,6,,22,252,2.0690228939056396
calibration,6,,23,2694,2.493577718734741
calibration,6,,24,1696,3.006302833557129
calibration,6,,25,1,3.0474660396575928
calibration,6,,26,1432,2.671297311782837
calibration,6,,27,3131,2.9468729496002197
calibration,6,,28,4718,2.9847419261932373
calibration,6,,29,2055,2.5514237880706787
calibration,6,,30,4817,2.8818562030792236
calibration,6,,31,2110,2.6016111373901367
calibration,6,,32,4972,2.551417112350464
calibration,6,,33,3779,2.1584579944610596
calibration,6,,34,4553,1.4597886800765991
calibration,6,,35,4505,2.3999109268188477
calibration,6,,36,779,2.828880786895752
calibration,6,,37,375,2.746764898300171
calibration,6,,38,3175,2.7365078926086426
calibration,6,,39,1099,2.5666990280151367
calibration,6,,40,3387,3.2324819564819336
calibration,6,,41,3081,2.0247063636779785
calibration,6,,42,461,2.4164743423461914
calibration,6,,43,429,2.9013662338256836
calibration,6,,44,2649,2.81952166557312
calibration,6,,45,1815,2.586068868637085
calibration,6,,46,4318,2.744276285171509
calibration,6,,47,226,2.8821167945861816
calibration,6,,48,4210,2.6430277824401855
calibration,6,,49,892,2.525958776473999
calibration,6,,50,2021,2.7391369342803955
calibration,6,,51,2579,2.2435123920440674
calibration,6,,52,2843,2.7194151878356934
calibration,6,,53,2661,2.102857828140259
calibration,6,,54,426,2.983631134033203
calibration,6,,55,768,3.1452126502990723
calibration,6,,56,2163,2.6682956218719482
calibration,6,,57,2378,2.618802309036255
calibration,6,,58,1777,3.026627540588379
calibration,6,,59,2019,2.622586250305176
calibration,6,,60,611,2.6486830711364746
calibration,6,,61,1632,2.83569598197937
calibration,6,,62,1668,2.21750807762146
calibration,6,,63,2131,2.158055067062378
calibration,6,,64,4582,1.0443205833435059
calibration,6,,65,3185,2.4107301235198975
calibration,6,,66,3604,2.552985668182373
calibration,6,,67,2688,2.6163880825042725
calibration,6,,68,1024,2.6134464740753174
calibration,6,,69,3447,2.8252179622650146
calibration,6,,70,1624,2.5928852558135986
calibration,6,,71,683,2.1833324432373047
calibration,6,,72,3712,2.863462209701538
calibration,6,,73,4597,2.0953803062438965
calibration,6,,74,2003,2.5541982650756836
calibration,6,,75,38,2.757145404815674
calibration,6,,76,2557,2.3969478607177734
calibration,6,,77,648,2.9560439586639404
calibration,6,,78,2091,2.1964969635009766
calibration,6,,79,2261,2.949453115463257
calibration,6,,80,2086,2.8290772438049316
calibration,6,,81,4297,2.825270414352417
calibration,6,,82,3993,2.2383651733398438
calibration,6,,83,559,2.4669578075408936
calibration,6,,84,3219,3.01920223236084
calibration,6,,85,3324,2.7239341735839844
calibration,6,,86,4366,2.887979030609131
calibration,6,,87,323,2.8284664154052734
calibration,6,,88,3151,2.5947818756103516
calibration,6,,89,2912,2.388164520263672
calibration,6,,90,2892,2.9359772205352783
calibration,6,,91,1031,3.122591018676758
calibration,6,,92,2905,1.8149629831314087
calibration,6,,93,1747,2.873556137084961
calibration,6,,94,1426,2.787899971008301
calibration,6,,95,1288,2.5713789463043213
calibration,8,,0,720,3.175579071044922
calibration,8,,1,3796,3.175759792327881
calibration,8,,2,2979,2.5624613761901855
calibration,8,,3,3195,2.6816811561584473
calibration,8,,4,3348,2.7753663063049316
calibration,8,,5,636,2.644906997680664
calibration,8,,6,655,2.8090648651123047
calibration,8,,7,4470,2.760805606842041
calibration,8,,8,3767,2.4588069915771484
calibration,8,,9,1123,2.645789623260498
calibration,8,,10,1907,2.7768197059631348
calibration,8,,11,4325,2.8683927059173584
calibration,8,,12,3374,2.932284116744995
calibration,8,,13,552,2.3872663974761963
calibration,8,,14,1983,2.7408041954040527
calibration,8,,15,279,2.6713833808898926
calibration,8,,16,3116,2.9846067428588867
calibration,8,,17,3247,3.1445462703704834
calibration,8,,18,4798,2.939704656600952
calibration,8,,19,2782,2.4676456451416016
calibration,8,,20,2029,2.936676025390625
calibration,8,,21,3681,2.7340118885040283
calibration,8,,22,252,2.134223699569702
calibration,8,,23,2694,2.6150267124176025
calibration,8,,24,1696,3.028226137161255
calibration,8,,25,1,3.112334728240967
calibration,8,,26,1432,2.64928936958313
calibration,8,,27,3131,2.9457128047943115
calibration,8,,28,4718,2.9774816036224365
calibration,8,,29,2055,2.603809118270874
calibration,8,,30,4817,2.868720054626465
calibration,8,,31,2110,2.6790895462036133
calibration,8,,32,4972,2.5558176040649414
calibration,8,,33,3779,2.1967337131500244
calibration,8,,34,4553,1.4957411289215088
calibration,8,,35,4505,2.4082536697387695
calibration,8,,36,779,2.8124139308929443
calibration,8,,37,375,2.739993095397949
calibration,8,,38,3175,2.701568365097046
calibration,8,,39,1099,2.5847129821777344
calibration,8,,40,3387,3.296508550643921
calibration,8,,41,3081,1.950874924659729
calibration,8,,42,461,2.426117181777954
calibration,8,,43,429,2.8992655277252197
calibration,8,,44,2649,2.8154616355895996
calibration,8,,45,1815,2.633833408355713
calibration,8,,46,4318,2.800133466720581
calibration,8,,47,226,2.9185986518859863
calibration,8,,48,4210,2.6441497802734375
calibration,8,,49,892,2.532499313354492
calibration,8,,50,2021,2.7717020511627197
calibration,8,,51,2579,2.227705955505371
calibration,8,,52,2843,2.8133153915405273
calibration,8,,53,2661,2.1077206134796143
calibration,8,,54,426,2.9767870903015137
calibration,8,,55,768,3.254718542098999
calibration,8,,56,2163,2.7116527557373047
calibration,8,,57,2378,2.678231716156006
calibration,8,,58,1777,3.062954902648926
calibration,8,,59,2019,2.6588969230651855
calibration,8,,60,611,2.752957344055176
calibration,8,,61,1632,2.861621141433716
calibration,8,,62,1668,2.1362428665161133
calibration,8,,63,2131,2.1277027130126953
calibration,8,,64,4582,1.0411043167114258
calibration,8,,65,3185,2.4029653072357178
calibration,8,,66,3604,2.5215823650360107
calibration,8,,67,2688,2.555553674697876
calibration,8,,68,1024,2.6265316009521484
calibration,8,,69,3447,2.89619779586792
calibration,8,,70,1624,2.612447738647461
calibration,8,,71,683,2.1838645935058594
calibration,8,,72,3712,2.9521920680999756
calibration,8,,73,4597,2.121187686920166
calibration,8,,74,2003,2.5985300540924072
calibration,8,,75,38,2.7333409786224365
calibration,8,,76,2557,2.3833208084106445
calibration,8,,77,648,3.0049989223480225
calibration,8,,78,2091,2.229996919631958
calibration,8,,79,2261,2.907655954360962
calibration,8,,80,2086,2.8247482776641846
calibration,8,,81,4297,2.865521192550659
calibration,8,,82,3993,2.2574994564056396
calibration,8,,83,559,2.4807333946228027
calibration,8,,84,3219,2.9791197776794434
calibration,8,,85,3324,2.8172709941864014
calibration,8,,86,4366,2.8587844371795654
calibration,8,,87,323,2.8161354064941406
calibration,8,,88,3151,2.581791639328003
calibration,8,,89,2912,2.340094566345215
calibration,8,,90,2892,2.996988534927368
calibration,8,,91,1031,3.1928815841674805
calibration,8,,92,2905,1.8888006210327148
calibration,8,,93,1747,2.83781361579895
calibration,8,,94,1426,2.748450517654419
calibration,8,,95,1288,2.596259593963623
