split,first_layer,second_layer,layer_distance,delta_first_nll,delta_second_nll,actual_pair_delta_nll,additive_prediction_nll,mean_interaction_prediction_nll,linear_regression_prediction_nll,interaction_nll,relative_abs_interaction
validation,8,21,13,0.13919187895953655,0.207956837490201,0.3561923112720251,0.34714871644973755,0.3929336874962154,0.38261977332901487,0.00904359482228756,0.02605106801135746
validation,8,24,16,0.13919187895953655,0.21476284973323345,0.36486426927149296,0.35395472869277,0.39973969973924783,0.3888155804053461,0.010909540578722954,0.030821852893487833
validation,8,26,18,0.13919187895953655,0.38574465177953243,0.5101800579577684,0.524936530739069,0.5707215017855468,0.5444677040298416,-0.014756472781300545,0.028110965644788717
validation,10,12,2,0.07480810768902302,0.06292960233986378,0.16926740296185017,0.1377377100288868,0.18352268107536465,0.18491158529940943,0.03152969293296337,0.22891111610865944
validation,10,15,5,0.07480810768902302,0.07354882918298244,0.17681932263076305,0.14835693687200546,0.19414190791848332,0.19457872641969126,0.02846238575875759,0.1918507240636374
validation,10,17,7,0.07480810768902302,0.10824565403163433,0.19638354144990444,0.18305376172065735,0.2288387327671352,0.22616474555205152,0.013329779729247093,0.07281893365069726
validation,10,19,9,0.07480810768902302,0.1631400790065527,0.2479789312928915,0.23794818669557571,0.28373315774205354,0.2761375129473671,0.010030744597315788,0.0421551630067635
validation,10,21,11,0.07480810768902302,0.207956837490201,0.2983232568949461,0.282764945179224,0.32854991622570184,0.31693614501498935,0.015558311715722084,0.05502206684729187
validation,10,24,14,0.07480810768902302,0.21476284973323345,0.2943349052220583,0.28957095742225647,0.3353559284687343,0.32313195209132056,0.0047639477998018265,0.016451745859495746
validation,10,26,16,0.07480810768902302,0.38574465177953243,0.46558080427348614,0.46055275946855545,0.5063377305150333,0.4787840757158161,0.005028044804930687,0.010917413263862943
validation,12,15,3,0.06292960233986378,0.07354882918298244,0.16091429255902767,0.13647843152284622,0.18226340256932408,0.18246040351185522,0.02443586103618145,0.17904558810885027
validation,12,17,5,0.06292960233986378,0.10824565403163433,0.18605184368789196,0.1711752563714981,0.21696022741797596,0.21404642264421547,0.014876587316393852,0.08690851488551303
validation,12,19,7,0.06292960233986378,0.1631400790065527,0.25262932665646076,0.22606968134641647,0.2718546523928943,0.264019190039531,0.02655964531004429,0.11748433116666264
validation,12,21,9,0.06292960233986378,0.207956837490201,0.2846697513014078,0.2708864398300648,0.3166714108765426,0.30481782210715336,0.01378331147134304,0.050882249698396595
validation,12,24,12,0.06292960233986378,0.21476284973323345,0.2935184072703123,0.27769245207309723,0.32347742311957506,0.3110136291834845,0.01582595519721508,0.056990944763054635
validation,12,26,14,0.06292960233986378,0.38574465177953243,0.44818870909512043,0.4486742541193962,0.49445922516587404,0.46666575280798006,-0.0004855450242757797,0.001082177147045687
validation,15,17,2,0.07354882918298244,0.10824565403163433,0.19140017218887806,0.18179448321461678,0.22757945426109463,0.22488004321631724,0.009605688974261284,0.05283817640891404
validation,15,19,4,0.07354882918298244,0.1631400790065527,0.26112002320587635,0.23668890818953514,0.28247387923601297,0.2748528106116328,0.02443111501634121,0.10322036297863744
validation,15,21,6,0.07354882918298244,0.207956837490201,0.29719838686287403,0.28150566667318344,0.32729063771966127,0.3156514426792551,0.01569272018969059,0.055745663578094844
validation,15,24,9,0.07354882918298244,0.21476284973323345,0.2741264160722494,0.2883116789162159,0.3340966499626937,0.3218472497555863,-0.014185262843966484,0.049201138494596876
validation,15,26,11,0.07354882918298244,0.38574465177953243,0.4322905894368887,0.4592934809625149,0.5050784520089927,0.47749937338008186,-0.027002891525626183,0.05879223774097072
validation,17,19,2,0.10824565403163433,0.1631400790065527,0.3587289210408926,0.271385733038187,0.31717070408466486,0.31025013670892276,0.08734318800270557,0.3218414874831147
validation,17,21,4,0.10824565403163433,0.207956837490201,0.34706064499914646,0.3162024915218353,0.36198746256831316,0.35104876877654506,0.030858153477311134,0.09758984924121077
validation,17,24,7,0.10824565403163433,0.21476284973323345,0.3140996862202883,0.3230085037648678,0.3687934748113456,0.3572445758528763,-0.008908817544579506,0.027580752335438913
validation,17,26,9,0.10824565403163433,0.38574465177953243,0.4220737908035517,0.49399030581116676,0.5397752768576446,0.5128966994773718,-0.07191651500761509,0.14558284679194894
validation,19,21,2,0.1631400790065527,0.207956837490201,0.5281640831381083,0.3710969164967537,0.4168818875432315,0.40705146845400275,0.15706716664135456,0.423251069084883
validation,19,24,5,0.1631400790065527,0.21476284973323345,0.43539475090801716,0.37790292873978615,0.423687899786264,0.4132472755303339,0.05749182216823101,0.15213383595610697
validation,19,26,7,0.1631400790065527,0.38574465177953243,0.499211261048913,0.5488847307860851,0.594669701832563,0.5688993991548295,-0.04967346973717213,0.09049890979119109
validation,21,24,3,0.207956837490201,0.21476284973323345,0.6875157859176397,0.42271968722343445,0.4685046582699123,0.45896884865954846,0.2647960986942053,0.6264106136940899
validation,21,26,5,0.207956837490201,0.38574465177953243,0.8088529724627733,0.5937014892697334,0.6394864603162113,0.614620972284044,0.2151514831930399,0.3623900008364156
validation,24,26,2,0.21476284973323345,0.38574465177953243,0.9639520067721605,0.6005075015127659,0.6462924725592437,0.6215643924915022,0.36344450525939465,0.605228917780086
